Offspring ID	Loci typed	Mother ID	Loci typed	Pair loci compared	Pair loci mismatching	Pair LOD score	Candidate father ID	Loci typed	Pair loci compared	Pair loci mismatching	Pair LOD score	Pair Delta	Pair confidence	Trio loci compared	Trio loci mismatching	Trio LOD score	Trio Delta	Trio confidence
126F-01	753	18BLA126	765	745	1	87.10244	18BLA111	747	732	0	89.84230	167.11524	***	725	18	-49.46703	210.11718	***
126F-01	753	18BLA126	765	745	1	87.10244	18BLA112	756	736	11	-77.27294	0.00000		728	51	-259.58421	0.00000	
126F-02	764	18BLA126	765	756	0	64.40092	18BLA112	756	748	2	83.97671	148.61884	***	740	25	-53.79361	220.22842	***
126F-02	764	18BLA126	765	756	0	64.40092	18BLA111	747	739	13	-64.64213	0.00000		732	57	-274.02203	0.00000	
126F-03	772	18BLA126	765	764	0	111.37066	18BLA112	756	755	0	81.85452	140.73762	***	747	22	-20.01261	226.51224	***
126F-03	772	18BLA126	765	764	0	111.37066	18BLA111	747	746	9	-58.88310	0.00000		739	48	-246.52485	0.00000	
126F-04	770	18BLA126	765	762	0	94.94020	18BLA111	747	745	0	83.33129	175.61309	***	738	19	-31.01609	256.28683	***
126F-04	770	18BLA126	765	762	0	94.94020	18BLA112	756	753	13	-92.28180	0.00000		745	55	-287.30292	0.00000	
126F-05	764	18BLA126	765	757	0	89.17364	18BLA112	756	747	1	80.69736	163.46248	***	740	16	-32.25803	226.96720	***
126F-05	764	18BLA126	765	757	0	89.17364	18BLA111	747	738	12	-82.76512	0.00000		732	51	-259.22523	0.00000	
126F-06	760	18BLA126	765	752	0	70.12786	18BLA111	747	739	2	73.49282	134.66791	***	732	19	-37.86389	210.71978	***
126F-06	760	18BLA126	765	752	0	70.12786	18BLA112	756	743	10	-61.17509	0.00000		735	45	-248.58367	0.00000	
126F-07	772	18BLA126	765	764	0	83.06409	18BLA112	756	755	1	80.21371	149.92127	***	747	19	-23.52509	230.21720	***
126F-07	772	18BLA126	765	764	0	83.06409	18BLA111	747	747	11	-69.70756	0.00000		740	54	-253.74229	0.00000	
126F-08	764	18BLA126	765	757	0	96.34188	18BLA112	756	747	0	82.63123	132.92782	***	740	13	-5.52347	225.69468	***
126F-08	764	18BLA126	765	757	0	96.34188	18BLA111	747	740	6	-50.29659	0.00000		733	45	-231.21815	0.00000	
126F-09	772	18BLA126	765	764	1	87.16092	18BLA111	747	746	5	46.09097	107.36964	***	739	24	-63.06752	180.21681	***
126F-09	772	18BLA126	765	764	1	87.16092	18BLA112	756	756	13	-61.27866	0.00000		748	51	-243.28432	0.00000	
126F-18	770	18BLA126	765	762	0	82.19730	18BLA111	747	745	5	65.50182	133.26767	***	738	15	-55.31061	204.93449	***
126F-18	770	18BLA126	765	762	0	82.19730	18BLA112	756	753	14	-67.76586	0.00000		745	51	-260.24510	0.00000	
126F-19	763	18BLA126	765	756	1	65.52759	18BLA111	747	739	0	112.54296	183.01061	***	733	16	-44.02183	258.41805	***
126F-19	763	18BLA126	765	756	1	65.52759	18BLA112	756	746	13	-70.46765	0.00000		739	60	-302.43987	0.00000	
126F-20	754	18BLA126	765	748	0	77.77390	18BLA112	756	740	0	97.70492	148.26261	***	734	14	22.39134	238.34972	***
