ID	18BLA111	18BLA112	18BLA151	18BLA152	18BLA166	18BLA168	19BLA115	19BLA122	19BLA147	MM12-P027	MM12-P174	18BLA126	18BLA163	19BLA148	MM12-P173	126F-01	126F-02	126F-03	126F-04	126F-05	126F-06	126F-07	126F-08	126F-09	126F-18	126F-19	126F-20	126F-23	126F-26	126F-34	126F-36	126F-42	126F-43	126F-45	150F-09	150F-10	150F-11	150F-12	150F-13	150F-14	150F-15	150F-16	150F-26	150F-27	150F-34	150F-35	150F-36	150F-42	150F-43	150F-44	150F-45	150F-46	150F-47	150F-48	163F-12	163F-13	163F-16	163F-40	BLFlume19-1-1-01	BLFlume19-1-1-02	BLFlume19-1-1-05	BLFlume19-1-1-06	BLFlume19-1-1-07	BLFlume19-1-2-024	BLFlume19-1-2-025	BLFlume19-1-2-026	BLFlume19-1-2-027	BLFlume19-1-2-034	BLFlume19-1-2-035	BLFlume19-1-2-036	BLFlume19-1-2-037	BLFlume19-1-2-039	BLFlume19-1-2-040	BLFlume19-1-3-041	BLFlume19-1-3-042	BLFlume19-1-3-043	BLFlume19-1-3-045	BLFlume19-1-3-046	BLFlume19-1-3-048	BLFlume19-1-3-049	BLFlume19-1-3-050	BLFlume19-1-3-051	BLFlume19-1-3-052	BLFlume19-1-3-054	BLFlume19-1-3-057	BLFlume19-1-3-059	BLFlume19-1-4-061	BLFlume19-1-4-066	BLFlume19-1-4-067	BLFlume19-1-4-069	BLFlume19-1-4-071	BLFlume19-1-4-074	BLFlume19-1-4-079	BLFlume19-2-1-106	BLFlume19-2-2-125	BLFlume19-2-2-126	BLFlume19-2-2-127	BLFlume19-2-3-149	BLFlume19-5-1-401	BLFlume19-5-1-402	BLFlume19-5-1-404	BLFlume19-5-1-405	BLFlume19-5-1-406	BLFlume19-5-1-407	BLFlume19-5-1-408	BLFlume19-5-1-409	BLFlume19-5-1-412	BLFlume19-5-1-415	BLFlume19-5-1-416	BLFlume19-5-1-417	BLFlume19-5-1-420	BLFlume19-5-2-423	BLFlume19-5-2-424	BLFlume19-5-2-425	BLFlume19-5-2-426	BLFlume19-5-2-427	BLFlume19-5-2-428	BLFlume19-5-2-429	BLFlume19-5-2-430	BLFlume19-5-2-431	BLFlume19-5-2-432	BLFlume19-5-2-433	BLFlume19-5-2-434	BLFlume19-5-2-435	BLFlume19-5-2-436	BLFlume19-5-2-438	BLFlume19-5-2-439	BLFlume19-5-2-440	BLFlume19-5-3-442	BLFlume19-5-3-443	BLFlume19-5-3-444	BLFlume19-5-3-445	BLFlume19-5-3-446	BLFlume19-5-3-447	BLFlume19-5-3-449	BLFlume19-5-3-450	BLFlume19-5-3-451	BLFlume19-5-3-452	BLFlume19-5-3-453	BLFlume19-5-3-454	BLFlume19-5-3-455	BLFlume19-5-3-456	BLFlume19-5-3-457	BLFlume19-5-3-458	BLFlume19-5-3-459	BLFlume19-5-3-460	BLFlume19-5-4-462	BLFlume19-5-4-464	BLFlume19-5-4-465	BLFlume19-5-4-466	BLFlume19-5-4-467	BLFlume19-5-4-470	BLFlume19-6-1-501	BLFlume19-6-1-513	BLFlume19-6-1-517	BLFlume19-6-2-536	BLFlume19-6-3-551	BLFlume19-6-3-552	BLFlume19-6-5-594	BLFlume19-7-2-625	MM12-117	MM12-127	MM12-133	MM12-26	MM12-27	MM12-30	MM12-55	MM12-57	MM12-69	MM12-73	MM12-81	MM12-82	MM12-83	MM12-85	MM12-94	MM12-M	MM12-N
18BLA111	1.00000	0.00000	0.12125	0.18889	0.00000	0.29850	0.00000	0.31624	0.00000	0.19030	0.17567	0.12702	0.11068	0.00000	0.11191	0.56346	0.08108	0.06529	0.54845	0.00000	0.53676	0.02281	0.12981	0.47296	0.49870	0.62065	0.08162	0.20980	0.16645	0.58522	0.06466	0.08542	0.00000	0.00000	0.15693	0.09841	0.06232	0.00000	0.07144	0.14522	0.00000	0.12839	0.20198	0.07084	0.12648	0.08101	0.08233	0.07795	0.21700	0.00000	0.05390	0.08637	0.11387	0.10922	0.15996	0.05786	0.11809	0.24859	0.00000	0.12513	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.20941	0.17759	0.23425	0.11520	0.07539	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07913	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12487	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.20758	0.00000	0.00000	0.00000	0.00000	0.00000	0.02643	0.00000	0.00000	0.00000	0.00000	0.14095	0.00000	0.00000	0.00000	0.14332	0.17005	0.00000	0.00000	0.00000	0.09573	0.13600	0.00000	0.00000	0.09637	0.10631	0.08732	0.06649
18BLA112	0.00000	1.00000	0.09295	0.17895	0.18745	0.00000	0.00000	0.22560	0.00000	0.00000	0.24008	0.14242	0.00000	0.00000	0.25905	0.00000	0.55802	0.52067	0.00000	0.55060	0.00000	0.56385	0.57675	0.15380	0.15558	0.00000	0.60639	0.50753	0.55177	0.13879	0.54365	0.61182	0.00000	0.11110	0.23873	0.09564	0.00000	0.14671	0.18573	0.07353	0.18099	0.00000	0.00000	0.10912	0.00000	0.05823	0.12225	0.22814	0.14875	0.07543	0.18156	0.20105	0.22743	0.28710	0.06737	0.05270	0.07133	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09936	0.12276	0.11136	0.00000	0.00000	0.00000	0.28935	0.04590	0.12158	0.12063	0.00000	0.00000	0.00000	0.09457	0.29970	0.03724	0.00000
18BLA151	0.12125	0.09295	1.00000	0.12219	0.11282	0.31036	0.00000	0.20360	0.00000	0.09486	0.10463	0.23836	0.11796	0.00000	0.14813	0.07889	0.18292	0.25656	0.21787	0.00000	0.16799	0.09778	0.14808	0.18049	0.00000	0.11813	0.11571	0.15356	0.17217	0.09609	0.00000	0.12539	0.00000	0.00000	0.00000	0.00000	0.10846	0.00000	0.53580	0.54425	0.59418	0.00000	0.00000	0.09051	0.50755	0.00000	0.00000	0.15615	0.00000	0.00000	0.53913	0.00000	0.00000	0.54760	0.16808	0.15835	0.07733	0.10167	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09206	0.00000	0.00000	0.00000	0.00000	0.08713	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.16200	0.00000	0.00000	0.07574	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23515	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.32540	0.00000	0.00000	0.00000	0.00000	0.03264	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08876	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11063	0.11594	0.09552	0.24892	0.00000	0.12582	0.10821	0.04210	0.09393	0.16165	0.27668	0.08793	0.00000	0.00000	0.00000	0.11152	0.17706
18BLA152	0.18889	0.17895	0.12219	1.00000	0.32247	0.00000	0.00000	0.20325	0.00000	0.00000	0.00000	0.00000	0.07394	0.00000	0.18944	0.00000	0.00000	0.00000	0.00000	0.06422	0.00000	0.23211	0.05879	0.27147	0.06511	0.27864	0.10754	0.04811	0.00000	0.00000	0.04704	0.12335	0.00000	0.08272	0.61156	0.60096	0.56141	0.53907	0.11477	0.09152	0.00000	0.56303	0.57594	0.59028	0.24600	0.59794	0.54313	0.60062	0.56714	0.55512	0.15588	0.60497	0.57168	0.10094	0.28045	0.28054	0.30202	0.21187	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10128	0.00000	0.11337	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19443	0.39668	0.00000	0.00000	0.00000	0.29079	0.27649	0.07382	0.08623	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18BLA166	0.00000	0.18745	0.11282	0.32247	1.00000	0.15298	0.00000	0.15519	0.00000	0.12655	0.20730	0.15706	0.23580	0.00000	0.13483	0.00000	0.05853	0.10838	0.08863	0.09498	0.00000	0.19286	0.08853	0.03046	0.16190	0.07126	0.08487	0.15493	0.11824	0.08076	0.00000	0.00000	0.00000	0.00000	0.10249	0.15026	0.23941	0.00000	0.00000	0.17857	0.00000	0.14835	0.00000	0.00000	0.00000	0.07999	0.00000	0.19679	0.23043	0.22299	0.00000	0.00000	0.15196	0.00000	0.57154	0.59008	0.62410	0.28094	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07821	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07369	0.15184	0.14346	0.00000	0.04388	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.20291	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11936	0.21075	0.00000	0.00000	0.00000	0.00000	0.00000	0.13240	0.06683	0.05418	0.00000	0.00000	0.16659	0.05699	0.14715	0.13685	0.00000	0.12547	0.22814	0.09181	0.21958	0.09953	0.00000	0.16083	0.00000	0.00000	0.15056	0.00000	0.08538
18BLA168	0.29850	0.00000	0.31036	0.00000	0.15298	1.00000	0.00000	0.28951	0.00000	0.07119	0.25369	0.10932	0.00000	0.00000	0.26495	0.28585	0.00000	0.05400	0.07787	0.11144	0.00000	0.00000	0.00000	0.24833	0.26347	0.31107	0.00000	0.00000	0.00000	0.24285	0.00000	0.00000	0.00000	0.00000	0.03124	0.05200	0.00000	0.00000	0.09330	0.00033	0.14198	0.00000	0.00000	0.06064	0.24182	0.00000	0.00000	0.00000	0.00000	0.00000	0.25743	0.00000	0.00000	0.20919	0.09994	0.25749	0.00000	0.55220	0.00000	0.15183	0.00000	0.00000	0.00000	0.00000	0.00000	0.18186	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08797	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08780	0.00000	0.25493	0.17998	0.08945	0.15864	0.00000	0.27529	0.00000	0.00000	0.00000	0.00000	0.25356	0.17586	0.00000	0.00000	0.00000	0.09687	0.00000	0.28153	0.09442	0.00000	0.23612	0.00000	0.00000	0.00000	0.00000	0.00000	0.16946	0.00000	0.18154	0.00000	0.00000	0.00000	0.00000	0.00000	0.14219	0.00000	0.27398	0.00000	0.20112	0.00000	0.00000	0.00000	0.30648	0.00000	0.08705	0.00000	0.00000	0.00000	0.00000	0.10407	0.00000	0.00000	0.00000	0.22247	0.00000	0.00000	0.28239	0.00000	0.15535	0.34288	0.24976	0.00000	0.20350	0.33018	0.09535	0.15392	0.31327	0.23065	0.00000	0.00000	0.00000	0.23958	0.03586	0.00000	0.00000	0.08369	0.24002	0.15949	0.00000	0.05181	0.00000	0.22810	0.26960	0.06664
19BLA115	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.09750	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.92977	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10193	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66242	0.14232	0.59216	0.55578	0.58922	0.64684	0.56846	0.53399	0.60704	0.61677	0.58050	0.60884	0.61100	0.55498	0.55141	0.55933	0.55623	0.66033	0.59073	0.55496	0.57572	0.61821	0.58239	0.64651	0.46109	0.63997	0.58043	0.59649	0.60724	0.58786	0.49634	0.55166	0.60455	0.63421	0.63570	0.30020	0.00000	0.12306	0.28244	0.24949	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10332	0.00000	0.00000
19BLA122	0.31624	0.22560	0.20360	0.20325	0.15519	0.28951	0.09750	1.00000	0.00000	0.16093	0.24757	0.29048	0.00000	0.00000	0.20226	0.34751	0.28823	0.24703	0.25582	0.14410	0.24053	0.12783	0.26198	0.37372	0.37563	0.37435	0.20655	0.08293	0.27797	0.32891	0.11618	0.33044	0.00000	0.00000	0.00000	0.14430	0.09730	0.00000	0.00000	0.00000	0.20209	0.00000	0.31015	0.15238	0.00000	0.00000	0.09599	0.34377	0.00000	0.00000	0.00000	0.10064	0.14002	0.19694	0.18153	0.16636	0.18685	0.24931	0.00000	0.50804	0.26789	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.32322	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58885	0.59515	0.47761	0.54543	0.52845	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09940	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.27707	0.00000	0.00000	0.26953	0.23947	0.22941	0.00000	0.13104	0.11608	0.06892	0.11402	0.07137	0.07349	0.19497	0.11446	0.15492	0.11108
19BLA147	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.05972	0.32019	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03687	0.24167	0.03331	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.86567	0.00000	0.00000	0.11862	0.00000	0.16591	0.00000	0.00000	0.12507	0.00000	0.12571	0.00000	0.11467	0.19140	0.00000	0.00000	0.00000	0.17093	0.00000	0.00000	0.00000	0.00000	0.00000	0.10543	0.17828	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03917	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.51418	0.56962	0.54520	0.48069	0.00000	0.00000	0.48154	0.52586	0.52959	0.00000	0.56613	0.00000	0.00000	0.48035	0.00000	0.53765	0.48337	0.59544	0.55195	0.55159	0.00000	0.00000	0.46972	0.56308	0.59673	0.50303	0.55804	0.50566	0.00000	0.49814	0.00000	0.56036	0.00000	0.54357	0.54855	0.54563	0.00000	0.52836	0.51437	0.58669	0.51593	0.57004	0.56694	0.51017	0.57783	0.56199	0.59561	0.48638	0.51564	0.00000	0.00000	0.49808	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08134	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
MM12-P027	0.19030	0.00000	0.09486	0.00000	0.12655	0.07119	0.00000	0.16093	0.00000	1.00000	0.00000	0.19771	0.27639	0.00000	0.07832	0.00000	0.00000	0.00000	0.21427	0.08277	0.09160	0.18282	0.08984	0.00000	0.06210	0.22967	0.20777	0.00000	0.00000	0.17315	0.00000	0.00000	0.00000	0.21453	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15516	0.00000	0.14695	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.17176	0.23454	0.22966	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.06759	0.00000	0.00000	0.00000	0.00000	0.11272	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07343	0.00000	0.00000	0.30538	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07650	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06425	0.00000	0.00000	0.00000	0.25883	0.00000	0.08864	0.00000	0.00000	0.12774	0.11149	0.00000	0.00000	0.00000	0.00000	0.20207	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23916	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10258	0.54779	0.58574	0.59477	0.17761	0.04452	0.04078	0.05761	0.61503	0.55240	0.56601	0.61019	0.08406	0.24524	0.17820
