Sample,Female_parent,Male_parent
126F-01,18BLA126,18BLA111
126F-02,18BLA126,18BLA111
126F-03,18BLA126,18BLA111
126F-04,18BLA126,18BLA111
126F-05,18BLA126,18BLA111
126F-06,18BLA126,18BLA111
126F-07,18BLA126,18BLA111
126F-08,18BLA126,18BLA111
126F-09,18BLA126,18BLA111
126F-10,18BLA126,18BLA111
126F-11,18BLA126,18BLA111
126F-12,18BLA126,18BLA111
126F-13,18BLA126,18BLA111
126F-14,18BLA126,18BLA111
126F-15,18BLA126,18BLA111
126F-16,18BLA126,18BLA111
126F-17,18BLA126,18BLA111
126F-18,18BLA126,18BLA111
126F-19,18BLA126,18BLA111
126F-20,18BLA126,18BLA111
126F-21,18BLA126,18BLA111
126F-22,18BLA126,18BLA111
126F-23,18BLA126,18BLA111
126F-24,18BLA126,18BLA111
126F-25,18BLA126,18BLA111
126F-26,18BLA126,18BLA111
126F-27,18BLA126,18BLA111
126F-28,18BLA126,18BLA111
126F-29,18BLA126,18BLA111
126F-30,18BLA126,18BLA111
126F-31,18BLA126,18BLA111
126F-32,18BLA126,18BLA111
126F-33,18BLA126,18BLA111
126F-34,18BLA126,18BLA111
126F-35,18BLA126,18BLA111
126F-36,18BLA126,18BLA111
126F-37,18BLA126,18BLA111
126F-38,18BLA126,18BLA111
126F-39,18BLA126,18BLA111
126F-40,18BLA126,18BLA111
126F-41,18BLA126,18BLA111
126F-42,18BLA126,18BLA111
126F-43,18BLA126,18BLA111
126F-44,18BLA126,18BLA111
126F-45,18BLA126,18BLA111
126F-46,18BLA126,18BLA111
126F-47,18BLA126,18BLA111
126F-48,18BLA126,18BLA111
150F-01,18BLA150,18BLA151
150F-02,18BLA150,18BLA151
150F-03,18BLA150,18BLA151
150F-04,18BLA150,18BLA151
150F-05,18BLA150,18BLA151
150F-06,18BLA150,18BLA151
150F-07,18BLA150,18BLA151
150F-08,18BLA150,18BLA151
150F-09,18BLA150,18BLA151
150F-10,18BLA150,18BLA151
150F-11,18BLA150,18BLA151
150F-12,18BLA150,18BLA151
150F-13,18BLA150,18BLA151
150F-14,18BLA150,18BLA151
150F-15,18BLA150,18BLA151
150F-16,18BLA150,18BLA151
150F-17,18BLA150,18BLA151
150F-18,18BLA150,18BLA151
150F-20,18BLA150,18BLA151
150F-21,18BLA150,18BLA151
150F-22,18BLA150,18BLA151
150F-23,18BLA150,18BLA151
150F-24,18BLA150,18BLA151
150F-25,18BLA150,18BLA151
150F-26,18BLA150,18BLA151
150F-27,18BLA150,18BLA151
150F-28,18BLA150,18BLA151
150F-29,18BLA150,18BLA151
150F-30,18BLA150,18BLA151
150F-31,18BLA150,18BLA151
150F-32,18BLA150,18BLA151
150F-33,18BLA150,18BLA151
150F-34,18BLA150,18BLA151
150F-35,18BLA150,18BLA151
150F-36,18BLA150,18BLA151
150F-37,18BLA150,18BLA151
150F-38,18BLA150,18BLA151
150F-39,18BLA150,18BLA151
150F-40,18BLA150,18BLA151
150F-41,18BLA150,18BLA151
150F-42,18BLA150,18BLA151
150F-43,18BLA150,18BLA151
150F-44,18BLA150,18BLA151
150F-45,18BLA150,18BLA151
150F-46,18BLA150,18BLA151
150F-47,18BLA150,18BLA151
150F-48,18BLA150,18BLA151
163F-01,18BLA163,18BLA168
163F-02,18BLA163,18BLA168
163F-03,18BLA163,18BLA168
163F-04,18BLA163,18BLA168
163F-05,18BLA163,18BLA168
163F-06,18BLA163,18BLA168
163F-07,18BLA163,18BLA168
163F-08,18BLA163,18BLA168
163F-09,18BLA163,18BLA168
163F-10,18BLA163,18BLA168
163F-11,18BLA163,18BLA168
