Sample,Parentage or Populations?,Female Parent,Male Parent,Population,Lake,Notes
SL38,Populations,,,St. Lawrence,St Lawrence,
SL46,Populations,,,St. Lawrence,St Lawrence,
SL536,Populations,,,St. Lawrence,St Lawrence,
SL537,Populations,,,St. Lawrence,St Lawrence,
SL538,Populations,,,St. Lawrence,St Lawrence,
SL539,Populations,,,St. Lawrence,St Lawrence,
SL540,Populations,,,St. Lawrence,St Lawrence,
SL541,Populations,,,St. Lawrence,St Lawrence,
SL649,Populations,,,St. Lawrence Estuary,St Lawrence,
SL650,Populations,,,St. Lawrence Estuary,St Lawrence,
SL656,Populations,,,St. Lawrence Estuary,St Lawrence,
SL659,Populations,,,St. Lawrence Estuary,St Lawrence,
SL660,Populations,,,St. Lawrence Estuary,St Lawrence,
SL661,Populations,,,St. Lawrence Estuary,St Lawrence,
SL662,Populations,,,St. Lawrence Estuary,St Lawrence,
SL764,Populations,,,St. Lawrence Estuary,St Lawrence,
126F_01,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_02,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_03,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_04,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_05,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_06,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_07,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_08,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_09,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_10,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_11,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_12,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_13,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_14,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_15,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_16,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_17,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_18,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_19,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_20,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_21,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_22,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_23,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_24,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_25,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_26,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_27,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_28,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_29,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_30,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_31,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_32,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_33,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_34,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_35,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_36,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_37,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_38,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_39,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_40,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_41,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_42,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_43,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_44,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_45,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_46,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_47,Parentage,18BLA126,18BLA111 or 18BLA112,,,
126F_48,Parentage,18BLA126,18BLA111 or 18BLA112,,,
150F_01,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_02,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_03,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_04,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_05,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_06,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_07,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_08,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_09,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_10,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_11,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_12,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_13,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_14,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_15,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_16,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_17,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_18,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_20,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_21,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_22,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_23,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_24,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_25,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_26,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_27,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_28,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_29,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_30,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_31,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_32,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_33,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_34,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_35,Parentage,18BLA150,18BLA151 or 18BLA152,,,
150F_36,Parentage,18BLA150,18BLA151 or 18BLA152,,,
