Sample Female_parent Male_parent
126F-01 18BLA126 18BLA111
126F-04 18BLA126 18BLA111
126F-06 18BLA126 18BLA111
126F-09 18BLA126 18BLA111
126F-18 18BLA126 18BLA111
126F-19 18BLA126 18BLA111
126F-34 18BLA126 18BLA111
126F-45 18BLA126 18BLA111
126F-02 18BLA126 18BLA112
126F-03 18BLA126 18BLA112
126F-05 18BLA126 18BLA112
126F-07 18BLA126 18BLA112
126F-08 18BLA126 18BLA112
126F-20 18BLA126 18BLA112
126F-23 18BLA126 18BLA112
126F-26 18BLA126 18BLA112
126F-36 18BLA126 18BLA112
126F-42 18BLA126 18BLA112
126F-43 18BLA126 18BLA112
163F-12 18BLA163 18BLA166
163F-13 18BLA163 18BLA166
163F-16 18BLA163 18BLA166
163F-40 18BLA163 18BLA168
BLFlume19-5-1-402 19BLA148 19BLA147
BLFlume19-5-1-404 19BLA148 19BLA147
BLFlume19-5-1-405 19BLA148 19BLA147
BLFlume19-5-1-406 19BLA148 19BLA147
BLFlume19-5-1-407 19BLA148 19BLA147
BLFlume19-5-1-408 19BLA148 19BLA147
BLFlume19-5-1-409 19BLA148 19BLA147
BLFlume19-5-1-412 19BLA148 19BLA147
BLFlume19-5-1-415 19BLA148 19BLA147
BLFlume19-5-1-417 19BLA148 19BLA147
BLFlume19-5-2-423 19BLA148 19BLA147
BLFlume19-5-2-424 19BLA148 19BLA147
BLFlume19-5-2-426 19BLA148 19BLA147
BLFlume19-5-2-427 19BLA148 19BLA147
BLFlume19-5-2-428 19BLA148 19BLA147
BLFlume19-5-2-429 19BLA148 19BLA147
BLFlume19-5-2-430 19BLA148 19BLA147
BLFlume19-5-2-433 19BLA148 19BLA147
BLFlume19-5-2-434 19BLA148 19BLA147
BLFlume19-5-2-435 19BLA148 19BLA147
BLFlume19-5-2-436 19BLA148 19BLA147
BLFlume19-5-2-438 19BLA148 19BLA147
BLFlume19-5-2-439 19BLA148 19BLA147
BLFlume19-5-3-442 19BLA148 19BLA147
BLFlume19-5-3-443 19BLA148 19BLA147
BLFlume19-5-3-444 19BLA148 19BLA147
BLFlume19-5-3-445 19BLA148 19BLA147
BLFlume19-5-3-446 19BLA148 19BLA147
BLFlume19-5-3-447 19BLA148 19BLA147
BLFlume19-5-3-449 19BLA148 19BLA147
BLFlume19-5-3-450 19BLA148 19BLA147
BLFlume19-5-3-451 19BLA148 19BLA147
BLFlume19-5-3-452 19BLA148 19BLA147
BLFlume19-5-3-453 19BLA148 19BLA147
BLFlume19-5-3-454 19BLA148 19BLA147
BLFlume19-5-3-455 19BLA148 19BLA147
BLFlume19-5-3-456 19BLA148 19BLA147
BLFlume19-5-3-457 19BLA148 19BLA147
BLFlume19-5-3-458 19BLA148 19BLA147
BLFlume19-5-3-459 19BLA148 19BLA147
BLFlume19-5-3-460 19BLA148 19BLA147
BLFlume19-5-4-462 19BLA148 19BLA147
BLFlume19-5-4-464 19BLA148 19BLA147
BLFlume19-5-4-465 19BLA148 19BLA147
BLFlume19-5-4-466 19BLA148 19BLA147
BLFlume19-5-4-467 19BLA148 19BLA147
